Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,61,2015,4,30,15,0
Blackspring Ridge (BSR1),300,256,2015,4,30,15,0
Blue Trail Wind (BTR1),66,64,2015,4,30,15,0
Castle River #1 (CR1),39,38,2015,4,30,15,0
Castle Rock Wind Farm (CRR1),77,76,2015,4,30,15,0
Cowley Ridge (CRW1),38,27,2015,4,30,15,0
Enmax Taber (TAB1),81,60,2015,4,30,15,0
Ghost Pine (NEP1),82,55,2015,4,30,15,0
Halkirk Wind Power Facility (HAL1),150,38,2015,4,30,15,0
Kettles Hill (KHW1),63,60,2015,4,30,15,0
McBride Lake Windfarm (AKE1),73,63,2015,4,30,15,0
Oldman 2 Wind Farm 1 (OWF1),46,46,2015,4,30,15,0
Soderglen Wind  (GWW1),71,53,2015,4,30,15,0
Summerview 1 (IEW1),66,62,2015,4,30,15,0
Summerview 2 (IEW2),66,60,2015,4,30,15,0
Suncor Chin Chute (SCR3),30,28,2015,4,30,15,0
Suncor Magrath (SCR2),30,22,2015,4,30,15,0
Suncor Wintering Hills (SCR4),88,50,2015,4,30,15,0
Ardenville Wind (ARD1),68,61,2015,4,30,15,1
Blackspring Ridge (BSR1),300,262,2015,4,30,15,1
Blue Trail Wind (BTR1),66,64,2015,4,30,15,1
Castle River #1 (CR1),39,38,2015,4,30,15,1
Castle Rock Wind Farm (CRR1),77,76,2015,4,30,15,1
Cowley Ridge (CRW1),38,27,2015,4,30,15,1
Enmax Taber (TAB1),81,57,2015,4,30,15,1
Ghost Pine (NEP1),82,54,2015,4,30,15,1
Halkirk Wind Power Facility (HAL1),150,36,2015,4,30,15,1
Kettles Hill (KHW1),63,61,2015,4,30,15,1
McBride Lake Windfarm (AKE1),73,66,2015,4,30,15,1
Oldman 2 Wind Farm 1 (OWF1),46,45,2015,4,30,15,1
Soderglen Wind  (GWW1),71,51,2015,4,30,15,1
Summerview 1 (IEW1),66,63,2015,4,30,15,1
Summerview 2 (IEW2),66,60,2015,4,30,15,1
Suncor Chin Chute (SCR3),30,28,2015,4,30,15,1
Suncor Magrath (SCR2),30,26,2015,4,30,15,1
Suncor Wintering Hills (SCR4),88,51,2015,4,30,15,1
Ardenville Wind (ARD1),68,62,2015,4,30,15,2
Blackspring Ridge (BSR1),300,258,2015,4,30,15,2
Blue Trail Wind (BTR1),66,65,2015,4,30,15,2
Castle River #1 (CR1),39,38,2015,4,30,15,2
Castle Rock Wind Farm (CRR1),77,76,2015,4,30,15,2
Cowley Ridge (CRW1),38,26,2015,4,30,15,2
Enmax Taber (TAB1),81,57,2015,4,30,15,2
Ghost Pine (NEP1),82,51,2015,4,30,15,2
Halkirk Wind Power Facility (HAL1),150,37,2015,4,30,15,2
Kettles Hill (KHW1),63,61,2015,4,30,15,2
McBride Lake Windfarm (AKE1),73,66,2015,4,30,15,2
Oldman 2 Wind Farm 1 (OWF1),46,45,2015,4,30,15,2
Soderglen Wind  (GWW1),71,51,2015,4,30,15,2
Summerview 1 (IEW1),66,63,2015,4,30,15,2
Summerview 2 (IEW2),66,59,2015,4,30,15,2
Suncor Chin Chute (SCR3),30,27,2015,4,30,15,2
Suncor Magrath (SCR2),30,26,2015,4,30,15,2
Suncor Wintering Hills (SCR4),88,52,2015,4,30,15,2
Ardenville Wind (ARD1),68,64,2015,4,30,15,3
Blackspring Ridge (BSR1),300,263,2015,4,30,15,3
Blue Trail Wind (BTR1),66,65,2015,4,30,15,3
Castle River #1 (CR1),39,38,2015,4,30,15,3
Castle Rock Wind Farm (CRR1),77,76,2015,4,30,15,3
Cowley Ridge (CRW1),38,26,2015,4,30,15,3
Enmax Taber (TAB1),81,58,2015,4,30,15,3
Ghost Pine (NEP1),82,51,2015,4,30,15,3
Halkirk Wind Power Facility (HAL1),150,42,2015,4,30,15,3
Kettles Hill (KHW1),63,60,2015,4,30,15,3
McBride Lake Windfarm (AKE1),73,67,2015,4,30,15,3
Oldman 2 Wind Farm 1 (OWF1),46,46,2015,4,30,15,3
Soderglen Wind  (GWW1),71,54,2015,4,30,15,3
Summerview 1 (IEW1),66,63,2015,4,30,15,3
Summerview 2 (IEW2),66,57,2015,4,30,15,3
Suncor Chin Chute (SCR3),30,29,2015,4,30,15,3
Suncor Magrath (SCR2),30,25,2015,4,30,15,3
Suncor Wintering Hills (SCR4),88,56,2015,4,30,15,3
Ardenville Wind (ARD1),68,65,2015,4,30,15,4
Blackspring Ridge (BSR1),300,257,2015,4,30,15,4
Blue Trail Wind (BTR1),66,64,2015,4,30,15,4
Castle River #1 (CR1),39,38,2015,4,30,15,4
Castle Rock Wind Farm (CRR1),77,76,2015,4,30,15,4
Cowley Ridge (CRW1),38,26,2015,4,30,15,4
Enmax Taber (TAB1),81,56,2015,4,30,15,4
Ghost Pine (NEP1),82,50,2015,4,30,15,4
Halkirk Wind Power Facility (HAL1),150,41,2015,4,30,15,4
Kettles Hill (KHW1),63,61,2015,4,30,15,4
McBride Lake Windfarm (AKE1),73,70,2015,4,30,15,4
Oldman 2 Wind Farm 1 (OWF1),46,46,2015,4,30,15,4
Soderglen Wind  (GWW1),71,52,2015,4,30,15,4
Summerview 1 (IEW1),66,63,2015,4,30,15,4
Summerview 2 (IEW2),66,57,2015,4,30,15,4
Suncor Chin Chute (SCR3),30,28,2015,4,30,15,4
Suncor Magrath (SCR2),30,25,2015,4,30,15,4
Suncor Wintering Hills (SCR4),88,58,2015,4,30,15,4
Ardenville Wind (ARD1),68,65,2015,4,30,15,5
Blackspring Ridge (BSR1),300,257,2015,4,30,15,5
Blue Trail Wind (BTR1),66,62,2015,4,30,15,5
